"uid","domainID","siteID","namedLocation","laboratoryName","collectDate","processedDate","genomicsSampleID","deprecatedVialID","dnaSampleID","internalLabID","sequenceAnalysisType","testMethod","sampleMaterial","sampleMass","nucleicAcidConcentration","nucleicAcidQuantMethod","nucleicAcidPurity","dnaPooledStatus","qaqcStatus","dnaProcessedBy","remarks","dataQF","publicationDate","release"
"98f9756c-05fa-4928-a953-010e21fdff1c","D01","BART","BART_004.basePlot.bgc","Argonne National Laboratory",2014-05-20 13:26:00,2015-04-02,"BART_004-O-12-7-20140520-GEN","BART.004.O.12.1.20140520","BART_004-O-12-7-20140520-GEN-DNA1",NA,"marker gene and metagenomics","ANL_soilDnaExtractionSOP_2015","soil",0.25,47.8,"PicoGreen assay",NA,"N",NA,"8xsomxViKYi7PNnhyJIlwg==","Sample IDs may not be in the same format as sequence data. Refer to deprecatedVialID.","legacyData","20201217T042633Z","RELEASE-2021"
"c411fc35-3b65-48fb-ba79-fba6e5b4db79","D01","BART","BART_004.basePlot.bgc","Battelle Applied Genomics",2014-05-20 13:26:00,2017-11-29,"BART_004-O-12-7-20140520-GEN",NA,"BART_004-O-12-7-20140520-GEN-DNA2","BMI_Plate19WellF12","metagenomics","BMI_dnaExtractionSOP_v1","soil",0.25,26,"Quantus",NA,"N","Pass","RVyJ5B/Sf3DYxyju9jcgbA==",NA,NA,"20201217T042633Z","RELEASE-2021"
"10add011-781b-4c15-80be-b5bf98faa507","D01","BART","BART_004.basePlot.bgc","Battelle Applied Genomics",2014-05-20 13:26:00,2017-11-29,"BART_004-M-12-7-20140520-GEN",NA,"BART_004-M-12-7-20140520-GEN-DNA2","BMI_Plate19WellG2","metagenomics","BMI_dnaExtractionSOP_v1","soil",0.25,8.1,"Quantus",NA,"N","Pass","RVyJ5B/Sf3DYxyju9jcgbA==",NA,NA,"20201217T042633Z","RELEASE-2021"
"b07e16ec-fd7d-401e-b469-7c88429f7ca5","D01","BART","BART_004.basePlot.bgc","Argonne National Laboratory",2014-05-20 13:26:00,2015-04-02,"BART_004-M-12-7-20140520-GEN","BART.004.M.12.1.20140520","BART_004-M-12-7-20140520-GEN-DNA1",NA,"marker gene and metagenomics","ANL_soilDnaExtractionSOP_2015","soil",0.25,24,"PicoGreen assay",NA,"N",NA,"8xsomxViKYi7PNnhyJIlwg==","Sample IDs may not be in the same format as sequence data. Refer to deprecatedVialID.","legacyData","20201217T042633Z","RELEASE-2021"
"757b818f-e6db-4be3-b179-bccabfe38979","D01","BART","BART_004.basePlot.bgc","Battelle Applied Genomics",2014-05-20 14:07:00,2017-06-09,"BART_004-M-5-26-20140520-GEN",NA,"BART_004-M-5-26-20140520-GEN-DNA2","BMI_Plate8WellB2","marker gene and metagenomics","BMI_dnaExtractionSOP_v1","soil",0.25,6.7,NA,NA,"N","Pass","RVyJ5B/Sf3AGJZxBT+KBZA==",NA,NA,"20201217T042633Z","RELEASE-2021"
"39389931-7f4d-4f09-ab56-c8850536e24b","D01","BART","BART_004.basePlot.bgc","Argonne National Laboratory",2014-05-20 14:07:00,2015-04-02,"BART_004-M-5-26-20140520-GEN","BART.004.M.5.9.20140520","BART_004-M-5-26-20140520-GEN-DNA1",NA,"marker gene and metagenomics","ANL_soilDnaExtractionSOP_2015","soil",0.25,13.4,"PicoGreen assay",NA,"N",NA,"8xsomxViKYi7PNnhyJIlwg==","Sample IDs may not be in the same format as sequence data. Refer to deprecatedVialID.","legacyData","20201217T042633Z","RELEASE-2021"
"d268208c-a88f-43c4-aef3-cea057f82d59","D01","BART","BART_004.basePlot.bgc","Argonne National Laboratory",2014-05-20 14:07:00,2015-04-02,"BART_004-O-5-26-20140520-GEN","BART.004.O.5.9.20140520","BART_004-O-5-26-20140520-GEN-DNA1",NA,"marker gene and metagenomics","ANL_soilDnaExtractionSOP_2015","soil",0.25,44,"PicoGreen assay",NA,"N",NA,"8xsomxViKYi7PNnhyJIlwg==","Sample IDs may not be in the same format as sequence data. Refer to deprecatedVialID.","legacyData","20201217T042633Z","RELEASE-2021"
"1215bfc1-3ffe-49cd-9e64-b4d26c33f232","D01","BART","BART_004.basePlot.bgc","Battelle Applied Genomics",2014-05-20 14:07:00,2017-06-09,"BART_004-O-5-26-20140520-GEN",NA,"BART_004-O-5-26-20140520-GEN-DNA2","BMI_Plate8WellE10","marker gene and metagenomics","BMI_dnaExtractionSOP_v1","soil",0.25,30,NA,NA,"N","Pass","RVyJ5B/Sf3AGJZxBT+KBZA==",NA,NA,"20201217T042633Z","RELEASE-2021"
"8324ee6e-19f8-4a32-baa0-4550bcc37def","D01","BART","BART_004.basePlot.bgc","Argonne National Laboratory",2014-05-20 14:40:00,2015-04-02,"BART_004-M-35-24-20140520-GEN","BART.004.M.35.1.20140520","BART_004-M-35-24-20140520-GEN-DNA1",NA,"marker gene and metagenomics","ANL_soilDnaExtractionSOP_2015","soil",0.25,28,"PicoGreen assay",NA,"N",NA,"8xsomxViKYi7PNnhyJIlwg==","Sample IDs may not be in the same format as sequence data. Refer to deprecatedVialID.","legacyData","20201217T042633Z","RELEASE-2021"
"d4084159-7360-4cb7-a92a-b03163209985","D01","BART","BART_004.basePlot.bgc","Battelle Applied Genomics",2014-05-20 14:40:00,2017-06-09,"BART_004-M-35-24-20140520-GEN",NA,"BART_004-M-35-24-20140520-GEN-DNA2","BMI_Plate8WellC11","marker gene and metagenomics","BMI_dnaExtractionSOP_v1","soil",0.25,4.4,NA,NA,"N","Pass","RVyJ5B/Sf3AGJZxBT+KBZA==",NA,NA,"20201217T042633Z","RELEASE-2021"
"629b3ba1-769c-4024-a3f0-acb8b4f824aa","D01","BART","BART_004.basePlot.bgc","Battelle Applied Genomics",2014-05-20 14:40:00,2017-11-29,"BART_004-O-35-24-20140520-GEN",NA,"BART_004-O-35-24-20140520-GEN-DNA2","BMI_Plate19WellG1","metagenomics","BMI_dnaExtractionSOP_v1","soil",0.25,42,"Quantus",NA,"N","Pass","RVyJ5B/Sf3DYxyju9jcgbA==",NA,NA,"20201217T042633Z","RELEASE-2021"
"fec5b388-d283-45aa-9af9-0521a2380fb2","D01","BART","BART_004.basePlot.bgc","Argonne National Laboratory",2014-05-20 14:40:00,2015-04-02,"BART_004-O-35-24-20140520-GEN","BART.004.O.35.1.20140520","BART_004-O-35-24-20140520-GEN-DNA1",NA,"marker gene and metagenomics","ANL_soilDnaExtractionSOP_2015","soil",0.25,13.2,"PicoGreen assay",NA,"N",NA,"8xsomxViKYi7PNnhyJIlwg==","Sample IDs may not be in the same format as sequence data. Refer to deprecatedVialID.","legacyData","20201217T042633Z","RELEASE-2021"
"ad9dc35d-1905-41a9-9ea2-de7651ccae77","D01","BART","BART_006.basePlot.bgc","Argonne National Laboratory",2014-05-20 17:50:00,2015-04-02,"BART_006-M-17-9-20140520-GEN","BART.006.M.17.1.20140520","BART_006-M-17-9-20140520-GEN-DNA1",NA,"marker gene and metagenomics","ANL_soilDnaExtractionSOP_2015","soil",0.25,9.1,"PicoGreen assay",NA,"N",NA,"8xsomxViKYi7PNnhyJIlwg==","Sample IDs may not be in the same format as sequence data. Refer to deprecatedVialID.","legacyData","20201217T042633Z","RELEASE-2021"
